SZ000001940,47.5331,7.5831,316.0,BASEL BINNINGEN,,06601
SZ000002220,47.2500,9.3500,2502.0,SAENTIS,GSN,06680
SZ000003700,47.3831,8.5667,555.0,ZUERICH/FLUNTERN,,06660
SZ000006717,45.8667,7.1667,2472.0,COL DU GRAND ST-BERNARD,GSN,06717
SZ000008390,46.2000,6.1500,405.0,GENEVE OBSERVATOIRE,,
SZ000008440,46.2500,6.1331,420.0,GENEVE COINTRIN,,06700
SZ000009480,46.0000,8.9667,273.0,LUGANO,06770
SZE00105086,46.2167,7.3331,482.0,SION 2,,06720
SZE00116090,46.8167,6.9500,490.0,PAYERNE,,06610
SZM00006796,46.6000,10.4330,1390.0,STA MARIA VAL MUESTAIR,,06796
